Tue Feb 15 10:04:23 2022 Fold 0, Epoch 1, lr: 0.0000300, train loss: 0.51927, valid loss: 0.48623, Acc: 83.0524, AUC: 0.562793.
Tue Feb 15 10:09:33 2022 Fold 0, Epoch 2, lr: 0.0003000, train loss: 0.46085, valid loss: 0.46985, Acc: 82.9858, AUC: 0.606473.
Tue Feb 15 10:14:44 2022 Fold 0, Epoch 3, lr: 0.0002910, train loss: 0.40071, valid loss: 0.46625, Acc: 82.8527, AUC: 0.605822.
Tue Feb 15 10:19:54 2022 Fold 0, Epoch 4, lr: 0.0002649, train loss: 0.30994, valid loss: 0.54915, Acc: 81.0781, AUC: 0.599802.
Tue Feb 15 10:25:04 2022 Fold 0, Epoch 5, lr: 0.0002250, train loss: 0.22528, valid loss: 0.57613, Acc: 82.0541, AUC: 0.583445.
Tue Feb 15 10:30:14 2022 Fold 0, Epoch 6, lr: 0.0001760, train loss: 0.14326, valid loss: 0.66636, Acc: 75.6433, AUC: 0.610827.
Tue Feb 15 10:35:24 2022 Fold 0, Epoch 7, lr: 0.0001240, train loss: 0.08072, valid loss: 0.69430, Acc: 81.5883, AUC: 0.625543.
Tue Feb 15 10:40:35 2022 Fold 0, Epoch 8, lr: 0.0000750, train loss: 0.04643, valid loss: 0.79193, Acc: 77.6398, AUC: 0.618129.
Tue Feb 15 10:45:45 2022 Fold 0, Epoch 9, lr: 0.0000351, train loss: 0.02730, valid loss: 0.83497, Acc: 75.1996, AUC: 0.622387.
Tue Feb 15 10:50:54 2022 Fold 0, Epoch 10, lr: 0.0000090, train loss: 0.01762, valid loss: 0.82292, Acc: 77.5954, AUC: 0.615848.
Tue Feb 15 10:56:05 2022 Fold 1, Epoch 1, lr: 0.0000300, train loss: 0.50275, valid loss: 0.54325, Acc: 79.3096, AUC: 0.533377.
Tue Feb 15 11:01:13 2022 Fold 1, Epoch 2, lr: 0.0003000, train loss: 0.43923, valid loss: 0.52212, Acc: 79.2205, AUC: 0.572726.
Tue Feb 15 11:06:23 2022 Fold 1, Epoch 3, lr: 0.0002910, train loss: 0.37799, valid loss: 0.51416, Acc: 78.4187, AUC: 0.643324.
Tue Feb 15 11:11:32 2022 Fold 1, Epoch 4, lr: 0.0002649, train loss: 0.30103, valid loss: 0.58662, Acc: 77.6837, AUC: 0.598121.
Tue Feb 15 11:16:44 2022 Fold 1, Epoch 5, lr: 0.0002250, train loss: 0.22287, valid loss: 0.63130, Acc: 70.0668, AUC: 0.626071.
Tue Feb 15 11:21:53 2022 Fold 1, Epoch 6, lr: 0.0001760, train loss: 0.13927, valid loss: 0.72284, Acc: 73.4744, AUC: 0.612837.
Tue Feb 15 11:27:04 2022 Fold 1, Epoch 7, lr: 0.0001240, train loss: 0.07802, valid loss: 0.72274, Acc: 74.3653, AUC: 0.617307.
Tue Feb 15 11:32:13 2022 Fold 1, Epoch 8, lr: 0.0000750, train loss: 0.04819, valid loss: 0.72715, Acc: 72.6949, AUC: 0.614084.
Tue Feb 15 11:37:22 2022 Fold 1, Epoch 9, lr: 0.0000351, train loss: 0.02927, valid loss: 0.77088, Acc: 71.6927, AUC: 0.614681.
Tue Feb 15 11:42:31 2022 Fold 1, Epoch 10, lr: 0.0000090, train loss: 0.02063, valid loss: 0.75123, Acc: 74.2762, AUC: 0.620291.
Tue Feb 15 11:47:42 2022 Fold 2, Epoch 1, lr: 0.0000300, train loss: 0.50556, valid loss: 0.50361, Acc: 81.8905, AUC: 0.573657.
Tue Feb 15 11:52:51 2022 Fold 2, Epoch 2, lr: 0.0003000, train loss: 0.45590, valid loss: 0.45879, Acc: 81.9567, AUC: 0.650155.
Tue Feb 15 11:58:00 2022 Fold 2, Epoch 3, lr: 0.0002910, train loss: 0.39031, valid loss: 0.48452, Acc: 82.3322, AUC: 0.612670.
Tue Feb 15 12:03:11 2022 Fold 2, Epoch 4, lr: 0.0002649, train loss: 0.31060, valid loss: 0.53348, Acc: 82.1334, AUC: 0.632338.
